"az_early_az_late" "az_early_tx_early" "az_early_tx_late" "az_late_tx_early" "az_late_tx_late" "tx_early_tx_late"
"F_GB40125" 0.298549151204106 0.0203415357462395 0.275118849876854 0.346236526908714 -0.0217391304347827 0.322172624691435
"F_GB40126" -0.0427632943317211 0.0185342011998026 -0.00768341998844591 -0.0138302719317522 -0.0519727648440518 0.0143648716080811
"F_GB40127" -0.000557375941627525 0.0114646201453835 0.0564627256442056 0.00973387564219985 0.0294089800527042 0.0404324852682857
"F_GB40128" -0.00977554069071429 -0.00147869165775116 0.0119631273509611 -0.00437244042954399 0.0139192082428056 0.0158168294533676
"F_GB40129" 0.0117092546721977 0.0110854168676714 0.041291122619233 -0.00600638826127353 -0.0151275305912597 0.00338616077453469
"F_GB40132" 0 0.0232456430410602 0 0 0 0
"F_GB40134" 0 0.0136815569765112 0 0 0 0
"F_GB40136" -0.00349683977289938 0.0175899585513599 0.0120440320133601 0.0290789083061516 0.00993116226630308 -0.0062373208287605
"F_GB40137" -0.0145472305556611 -0.000294531920855601 -0.00132652608213091 -0.00138963263364489 -0.00318212807523754 -0.00563015198759165
"F_GB40138" 0.0292960125506948 0.0026932862234228 0.0693778206660897 0.0272805973623383 0.0078771754613205 0.0544555922823989
"F_GB40139" 0.0213579403165698 0.0277441500485316 0.037610277307082 0.0295059849898814 0.0289123741466677 -0.00374270095664042
"F_GB40140" 0 0.0260617921597935 0 0 0 0
"F_GB40141" 0.0149994258072443 0.0484353023972263 0.00542357869849674 0.10109448644742 0.00731441626240181 0.0431533264418027
"F_GB40142" 0 0.0390749518739775 0.336196254117043 0 0 0.173752018337229
"F_GB40143" 0.0170013025880812 -0.00477628451250189 0.0360839650656296 0.0156644435640805 0.0472317224047808 0.0375738675742896
"F_GB40144" 0.112204251709998 0.0380585696344593 0.0937825431403649 0.0480915675879888 0.0181877705294472 0.0154679777733173
"F_GB40145" 0.0413657976010918 0.013385838876035 0.051247575253082 0.0309271551911146 -0.0370695970695971 0.0223387022974939
"F_GB40146" 0.00241291655082032 0.0096842341400365 0.0241366829229541 0.0221467363861138 0.0290605525944704 0.00859941523732355
"F_GB40147" 0.00513262698709127 0.0259226894019592 0.0848682182671475 0.0578165861780604 0.0242113868948183 0.175703103370806
"F_GB40148" 0.645112546350295 0.0192344557739828 -0.133429507851473 0.606927884192209 0.495522388059702 -0.167540020384915
"F_GB40149" 0.0688814366079421 0.0158843476239769 0.0769318815485089 0.0269130787217134 -0.00611719361053309 0.0278024513761016
"F_GB40150" 0 0.0199435463088827 0 0 0 0
"F_GB40153" -0.000585397202359061 0.0300498756313732 0.0160877887392156 0.0470447735801964 0.0205145796312542 0.00406205300315532
"F_GB40154" -0.00982314810339369 0.0289768895806106 0.00935023558557935 0.057249076414544 -0.0193575288261074 0.0805606934245519
"F_GB40156" 0.111395721260801 0.0186663528841252 0.1404565154268 0.114607439158704 -0.000699471873983004 0.130117288825923
"F_GB40157" -0.053073589951002 0.0164944480835149 -0.00577333437439043 -0.0276389834354436 -0.0405826281184132 0.0337102729094857
"F_GB40158" 0 0.0223951677367391 0.639415117785127 0 0 0.556251255024835
"F_GB40159" 0.370083274273565 0.0274098488070584 0 0.382569651012849 0 0
"F_GB40160" 0 -0.0071428571428569 0.00248687482730026 0 0.026595744680851 0.0142472991461057
"F_GB40161" 0.0258966696608395 0.0101130843762065 0.0122671868303024 -0.00108725124204989 0.0139289579623085 0.0258825465517739
"F_GB40162" 0.0117446007833316 0.0308437984524267 0.0551933160396143 0.0126689710306943 0.0211900677909996 0.00327288825956695
"F_GB40164" 0.0155407544248293 -0.00206682951442327 0.00102111638474722 0.024863276151558 -0.00825005116413835 0.0026075406452547
"F_GB40165" 0.065669046879851 0.0231662958338746 0.051300250289253 0.0338828909415316 0.0470873436405314 0.00333495152772256
"F_GB40166" 0.0158260356098845 0.00683900126042181 0.00808255298647698 0.0207151698301828 0.0275467739358191 -0.00363102157368345
"F_GB40167" 0.16197932843885 0.00247529777321343 0.202707823113534 0.113337772161301 0.0154170107106156 0.156466736069621
"F_GB40169" -0.010445468387603 0.00664904277317757 0.0380320244828208 0.01127244645359 0.0387273720607053 0.0760965704640756
"F_GB40170" 0.0204710830018137 0.0139260285209065 0.0146309023337995 0.031989506690733 0.0405636584606573 0.0252916903712973
"F_GB40183" 0.032131351893927 0.0516864341842244 0.0694620692164595 0.119194607716289 0.132611117513734 0.0066455696202532
"F_GB40186" 0.038249063376528 -0.00288024295800104 0.0749847098141151 0.0444593596083642 -0.000632111251580358 0.0827195580022656
"F_GB40187" 0.0333021889578436 0.0313735122169092 0.0283991319450232 0.0134908049667122 0.0133212724257501 0.0216501308330849
"F_GB40192" 0.0113513620718072 0.0184525953186505 0.00202787527300408 0.0697843416253034 0.0409658780018965 0.0266550217580264
"F_GB40193" 0.0798349002316382 -0.00603417681630303 0.128908205972397 0.0718416478021308 0.000795823419546871 0.118671853652202
"F_GB40194" 0.143683069381599 0.0437448227904178 0.0759580474882966 0.0767069685364092 -0.00325721671693224 0.0198815020302623
"F_GB40195" -0.0108811021459447 0.0404425102068167 0.0199632806490471 0.0279102625002352 0.00453307703866679 0.00131544390886784
"F_GB40197" -0.00210079114933293 -0.000698889283212267 -0.000361216016134813 0.00324040898415556 0.00302163944248934 -0.000418127082564945
"F_GB40200" 0.052979484713381 0.0280441966979127 0.000533852531089174 0.175947290134279 0.119544478893394 -0.00892402000819792
"F_GB40201" -0.00440980465868024 0.037337499857404 0.0111834782237468 0.0305510327214421 -0.0107384591984181 0.060428512989369
"F_GB40202" 0.00612548922431078 0.00179117718109079 0.044212213281001 -0.000993407702987614 0.000509771519492497 0.0237891597749931
"F_GB40203" 0.179500245968476 0.0203967441616084 0.0569375172266621 0.261184413292091 0.0301467855815684 0.0932017947490912
"F_GB40204" 0.127688743370287 0.0113131520262477 0.0238439748919144 0.106267540305148 0.0630028742537996 0.0127653119525104
"F_GB40205" 0.0345251122711969 0.00431235896403825 0.00700939538148837 0.0290074149398994 0.0235462104880028 0.00348363411474928
"F_GB40206" 0.0527903738538739 0.00532631457599375 -0.015183484296146 0.0120147496315858 0.0117710005350455 -0.0204253584559186
"F_GB40208" 0.00281147281853178 0.00149793475840654 0.0147743778611503 -0.00353572744949271 0.00912357751011705 0.00983292475540531
"F_GB40209" -0.00556326458108547 0.012972148309936 0.00562145767199163 0.0085184487376242 -0.00186778242677832 0.0045813422504356
"F_GB40213" 0.011606225663103 0.00942911738747509 -0.00555070884488251 0.0435518035799528 0.0220897997373682 -0.0126169203866184
"F_GB40214" -0.0123672367446119 0.0156123234855393 -0.00389251696604553 0.0195514942396506 -0.00954347885742646 0.00918083647398293
"F_GB40216" 0.166898579347802 0.00443251296142688 0.199631501991961 0.175831044329332 0.166447368421053 0.199122801145948
"F_GB40218" 0.234477262539224 0.00995430646984463 0.0529767386725268 0.312616330633241 0.417808219178082 -0.00115337979186925
"F_GB40219" 0.0566304520336465 0.0174377303039016 0.0137417031298476 0.00338269598969998 0.00659620623549595 -0.00131831957530504
"F_GB40222" -0.0122914036992983 0.00288109803414793 0.00463265098233256 0.000493616448371759 -0.00334763108138714 -0.00479578141915815
"F_GB40224" 0.00377949316846904 0.00286095079067827 -0.00357923090323342 0.0190197473472175 0.0128707881052774 0.00159567066099753
"F_GB40226" 0.0242808737474647 0.00459020694769907 0.0312544558513804 0.0184566346341761 0.0189898776696331 0.0182725147192929
"F_GB40228" 0.0183125726316309 0.00236824917877676 0.0164096055292448 0.0167848989998737 0.0562803358257904 0.0454635923265542
"F_GB40229" 0.332508153562026 0.0253342367259912 0.437050538525269 0.407138552504406 1 0.407401345699218
"F_GB40231" -0.135665881459815 0.00560754592069146 0.0251819973724302 -0.0892270531400965 -0.229152308752584 0.0494870611403428
"F_GB40232" -0.00955947764043197 0.0356061022840056 0.00406176474220266 0.0437351224393817 0.00944773115489239 0.0283696119698181
"F_GB40237" 0.381076276664512 0.0156362823689661 0.0398492153940562 0.440626244036781 0.326530612244898 0.0877188894526825
"F_GB40243" 0 0.0247678519946011 0.393031079552775 0 0 0.385399075024559
"F_GB40259" -0.00646472908302309 0.0389434326531773 0.00978361250664128 0.041652229582904 0.0162987578131181 0.0199735037145109
"F_GB40261" 0.200244588479883 0.0404842933489445 0.229524516892221 0.0980283302467603 -0.00222129668193816 0.121914690374649
"F_GB40264" 0.0201758379905151 0.000597611340802606 0.0266989443210462 0.0176704118839838 0.038555019895162 0.039337464615217
"F_GB40265" -0.0387451169794166 0.0126460587385245 0.0138450361813794 -0.000328652849178157 -0.00407002676181989 0.0121819330730546
"F_GB40267" 0.0114414923180974 0.00324368080267234 0.00981604042862194 0.0272563605349252 0.0155218988753919 0.0326814266918071
"F_GB40273" 0.0702267148253146 0.0137787946263972 -0.00116109151984145 0.132173971610291 -0.0203403350172826 0.0390474612453677
"F_GB40274" 0.153282525067139 0.00181323603240602 0.123026667924284 0.103981063721023 0.0018191937989791 0.0765852538760906
"F_GB40278" -0.1550188671517 0.0166440389451769 0.0209100112874741 -0.130662576417293 -0.148470623864325 -0.0237657549153223
"F_GB40279" 0.00289991137631596 0.00965950032185869 -0.0163328888038539 0.0463125923420594 -0.00184222726496341 -0.0157197894191217
"F_GB40280" 0.381086109142452 0.0314984850370245 0.399183006535948 0.387338879305953 1 0.378160435550237
"F_GB40282" 0.216231884057971 0.0190626754748702 0 0.229806320081549 0 0
"F_GB40284" 0.0328647949110573 0.0347236827318906 0.0154005897602409 0.0250166511986445 -0.000254400641872321 0.00230771171156663
"F_GB40285" 0.0408622912591383 0.0242384528484402 -0.00848205077963859 0.0224521542933144 0.0282165921510182 0.0164793663827546
"F_GB40286" 0.0200031749949227 -0.00146316825393522 -0.00334774407377525 0.0268841393026905 0.00203837131523388 0.00587150647713519
"F_GB40287" 0.0530970234547109 0.0402538085289953 0.0199127434161394 0.147052947052947 0.114210289327622 -0.00946706253650809
"F_GB40289" 0.168131837909182 0.00518769649351136 0.257879171314713 0.0975969833336298 0.00938533286256527 0.176484915675603
"F_GB40292" -0.00395914740754177 0.071545011497862 0.00127600477194889 0.0515887301851649 0.00798444962355294 0.113389957262297
"F_GB40293" 0.0205728952884453 0.011515067438173 0.100506890062527 0.0392674133814592 0.14173760728674 0.045472591207307
"F_GB40294" -0.000702121616930951 0.0133914488445765 0.00600756977521377 0.0122199572499292 0.00793380504112484 -0.00378857534174371
"F_GB40295" 0 0 0 0 0 0
"F_GB40296" 0.0404592920478185 0.00749701587093599 0.136615785554728 0.0476849584103922 0.091791458679978 0.098588972089857
"F_GB40304" 0 0.0199926307040416 0.58445833206929 0 0 0.602184364185406
"F_GB40307" 0.0760727389532307 0.0101887237178383 0.0447151765570298 0.152632652458091 0.0322734018114544 0.0900320547867498
"F_GB40309" 0.102934026759585 0.00116744649279998 0.0156455870412145 0.0933697042749766 0.0684606436969936 0.011615366797216
"F_GB40310" 0.449561378140243 0.0125016483714404 -0.0958540151255347 0.469752533271847 0.333333333333333 -0.0788731302013785
