id	POP1	POP2	POP3
50	0.95474967	0	0.045250329
51-4495	0.09908783	0.59519202	0.30572015
51	0.775752421	0	0.224247578
52-4507	0.155718909	0.467399953	0.376881138
52	0.829130547	0.14217112	0.028698333
53-4513	0.036851461	0.531686781	0.431461757
53	0	0.999999998	0
5-4250	0.308702254	0.116397567	0.574900179
54-4516	0.020011872	0.730390647	0.24959748
54	0.949991055	0	0.050008944
55	0.941222359	0	0.05877764
56-4504	0.14640573	0.735349327	0.118244943
56	0.973945565	0	0.026054434
57-4522	0.146573415	0.731171878	0.122254707
57	0.973622178	0	0.026377821
58-4532	0.089908758	0.739359648	0.170731593
58	0.824437955	0	0.175562044
59-4105	0.069975401	0	0.930024598
59	0.963072412	0	0.036927587
5	0.970422306	0	0.029577693
60-4133	0.010819369	0.980132711	0.00904792
60	0.999999998	0	0
61-4185	0.189476604	0	0.810523395
61	0	0.999999998	0
62-4188	1.16369E	0	0.999999998
62	0.988227272	0	0.011772727
63-4191	0.236899572	0.200119679	0.562980749
63	0.164600016	0.735501127	0.099898858
6-4251	0.000000001	0.218478616	0.781521383
64-4281	0.045497231	0.814457685	0.140045084
65-4115	0.002236633	0	0.997763366
66-4271	0.081435533	0.918564466	0.000000001
67-4279	0.102847523	0.153278816	0.743873661
68-4295	0.256926614	0.137205717	0.605867668
69-4321	0.17313242	0.343294359	0.483573221
6	0.961058012	0	0.038941987
70-4342	0.129156691	0.775402666	0.095440643
71-4368	0.10592399	0.787036974	0.107039036
72-4443	0.170673871	0.722853176	0.106472954
73-4095	0.206349385	0	0.793650614
7-4259	0.178055985	0.292704308	0.529239707
74-4153	0.091051848	0.12494642	0.784001732
75-4174	0.244899784	0.245819978	0.509280237
76-4459	0.246872048	0.589142087	0.163985865
76	0.732568757	0.259172066	0.008259178
77-8067	0.145943326	0	0.854056673
77	0.448795569	0.534578079	0.016626352
78-8072	0.080897798	0	0.919102201
78	0.017255671	0.969324473	0.013419857
79-8342	0.112688648	0	0.887311351
79	0.858184601	0.06172099	0.080094409
7	0.871991727	0	0.128008272
80-8348	0.013317662	0	0.986682337
80	0.52960693	0.403051807	0.067341263
81-8455	0.19865791	0	0.801342089
81	0.239734354	0.760265645	0.000000001
82-8470	0.001023007	0	0.998976992
82	0.410937873	0.50845675	0.080605377
83-8498	0.000000001	0.227814271	0.772185728
83	0.138682215	0.861317784	0.000000001
8-4260	0.148517776	0.188862863	0.66261936
84-8500	0.045524095	0	0.954475904
84	0.400310315	0.599689684	0.000000001
85-8501	0.193223084	0	0.806776915
85	0.446800171	0.364564495	0.188635334
86-8502	0.062139481	0	0.937860518
86	0.199127601	0.800872398	0.000000001
87-8503	0.100489958	0	0.899510041
87	0.876667916	0	0.123332083
88-8071	1.39189E	0	0.999999985
88	0.610525856	0.238943169	0.150530975
89-8346	0.041829719	0	0.95817028
89	0.013958221	0.986041778	0.000000001
8	0.91308944	0	0.086910559
90-8451	0.250556924	0	0.749443075
90	0.35998903	0.513605575	0.126405394
91-8476	0.03217003	0	0.967829969
91	0.603333739	0.260758497	0.135907764
92-8492	0	0	0.999999998
92	0.499286959	0.50071304	0.000000001
93-8493	0.137278023	0	0.862721976
93	0.668932352	0.183494253	0.147573395
9-4265	0.05500846	0.454602417	0.490389123
94-8494	0	0	0.999999998
94	0	0.999999998	0
95-8495	0.231403282	0	0.768596717
95	0.292626734	0.707373243	2.33946E-08
96-8496	0.16089655	0	0.839103449
96	0	0.999999998	0
97-8491	0	0	0.999999998
97	0.008259959	0.99174004	0.000000001
98-8499	0	0	0.999999998
98	0.358143823	0.629224596	0.012631581
99-4305	0.118033986	0.727233765	0.154732249
99	0.260889713	0.739110286	0.000000001
9	0.935878815	0	0.064121184
